"","CTRL_amore.gml","CTRL_barbatoa.gml","CTRL_barbatog.gml","CTRL_cappa.gml","CTRL_cioffi.gml","CTRL_conte.gml","CTRL_davino.gml","CTRL_denapoli.gml","CTRL_dibernardo.gml","CTRL_dimatteo.gml","CTRL_iadanza.gml","CTRL_incoronato.gml","CTRL_lavoro.gml","CTRL_longo.gml","CTRL_palma.gml","CTRL_penta.gml","CTRL_Rachele.gml","CTRL_rubino.gml","CTRL_salerno.gml","CTRL_tufano.gml"
"V73","4","9","4","5","2","8","3","6","10","1","1","4","9","9","10","6","9","9","3","2"
"V74","5","10","3","4","7","9","2","5","6","2","5","2","3","8","2","3","1","3","7","4"
"V75","4","9","4","5","2","8","3","9","10","1","1","4","9","9","10","6","9","9","3","2"
"V76","5","10","3","4","7","9","2","5","6","2","5","2","3","8","2","3","1","3","7","4"
"V77","4","9","7","5","6","6","4","9","10","5","1","10","5","9","10","6","9","9","3","3"
"V78","3","7","2","9","8","2","1","7","9","8","8","8","7","3","4","4","5","5","1","6"
"V79","1","2","9","1","2","7","7","4","2","6","10","5","9","9","7","7","2","4","10","10"
"V80","5","4","1","4","10","5","2","5","8","2","5","2","8","7","2","3","1","3","7","8"
"V81","9","5","9","1","2","7","7","8","5","6","6","5","10","9","7","9","2","10","2","10"
"V82","5","4","1","9","5","5","5","5","8","2","5","2","8","7","2","3","5","3","7","7"
"V83","9","6","7","2","6","6","4","3","4","5","7","10","5","1","3","8","9","8","6","3"
"V84","3","7","2","9","8","2","1","7","9","8","8","8","7","3","4","4","5","5","1","6"
"V85","6","2","5","1","3","4","9","4","2","3","10","3","6","1","3","7","10","4","10","1"
"V86","3","7","2","9","8","2","1","7","9","8","8","8","7","3","4","4","5","5","1","6"
"V87","9","6","7","2","6","6","4","3","4","5","7","10","5","1","3","8","10","8","6","3"
"V88","3","1","2","7","8","2","1","7","9","8","8","8","7","4","4","4","6","5","1","6"
"V89","6","6","5","2","3","4","9","3","4","3","7","6","6","1","3","8","10","8","6","1"
"V90","3","1","2","7","8","2","1","7","9","8","8","8","7","4","4","4","6","5","1","6"
